GSM8655560	OA	SRR31542966
GSM8655561	OA	SRR31542965
GSM8655562	OA	SRR31542964
GSM8655563	OA	SRR31542963
GSM8655564	OA	SRR31542962
GSM8655565	OA	SRR31542961
GSM8655566	OA	SRR31542960
GSM8655567	OA	SRR31542959
GSM8655568	OA	SRR31542958
GSM8655569	OA	SRR31542957
GSM8655570	OA	SRR31542956
GSM8655571	OA	SRR31542955
GSM8655572	OA	SRR31542954
GSM8655573	OA	SRR31542953
GSM8655574	OA	SRR31542952
GSM8655575	OA	SRR31542951
GSM8655576	OA	SRR31542950
GSM8655577	OA	SRR31542949
GSM8655578	OA	SRR31542948
GSM8655579	OA	SRR31542947
GSM8655580	OA	SRR31542946
GSM8655581	OA	SRR31542945
GSM8655582	OA	SRR31542944
GSM8655583	OA	SRR31542943
GSM8655584	OA	SRR31542942
GSM8655585	OA	SRR31542941
GSM8655586	OA	SRR31542940
GSM8655587	OA	SRR31542939
GSM8655588	OA	SRR31542938
GSM8655589	OA	SRR31542937
GSM8655590	OA	SRR31542936
GSM8655591	OA	SRR31542935
GSM8655592	OA	SRR31542934
GSM8655593	OA	SRR31542933
GSM8655594	OA	SRR31542932
GSM8655595	OA	SRR31542931
GSM8655596	non_OA	SRR31542930
GSM8655597	non_OA	SRR31542929
GSM8655598	non_OA	SRR31542928
GSM8655599	non_OA	SRR31542927
GSM8655600	non_OA	SRR31542926
