primary_41_sample_ra_projection	oa_only_ra_projection
0.178463243929904	0.115660507779908
-0.838272772379734	-0.854823463768327
-0.726148580053673	-0.758665203016912
-0.719407337859211	-0.758337526727153
-0.435299314510848	-0.48538370333763
-1.25700735068444	-1.27653587574738
-0.303105897059827	-0.330967094234456
-1.26083977440241	-1.27675007164036
1.37351215010594	1.28576720755303
1.63530056986937	1.52197313513607
-0.526662830150018	-0.572698732437677
-0.767768980541201	-0.80005854262834
0.236879439095316	0.22267974089387
-0.537987748932093	-0.593836103277193
-0.278957182665931	-0.334446379572993
-0.155497092970508	-0.205242416003513
1.36336731110053	1.2645968328652
0.653792648080058	0.588472355849323
0.405614909188916	0.332016776121379
0.550798463402967	0.46830178803866
-0.104749565730707	-0.165923604051509
0.915852074584619	0.821402623391718
0.63430906005921	0.550972990837023
1.52546200528619	1.41880836147146
-0.00012369217791286	-0.0505996717282089
0.260435590464022	0.188884813272701
0.593298919924458	0.515417222331384
0.798021582326463	0.718494104084727
-0.0300336679476803	-0.0973687732483672
-0.0299864003920872	-0.0894316190318819
-0.335755411004742	-0.393047784979945
-0.0959016127398786	-0.140285107417381
0.0869888196860003	0.021362140472192
-0.437199491055576	-0.484596105727745
0.407311506527707	0.32713349817188
-0.656602592341827	-0.692946319693562
