relationship	program	k	main_DL_pooled_rho	main_DL_ci_low	main_DL_ci_high	REML_tau2	REML_HK_pooled_rho	REML_HK_ci_low	REML_HK_ci_high	HK_df	HK_q
RA–inflammation	general_inflammation	7	0.232532304648195	0.0177283447556311	0.426818112763183	3.4865768915403e-13	0.232532304647791	0.0665092427794945	0.38602640744827	6	2.32389251016447
RA–APC	mhc_ii_apc_primary	7	0.308807046785447	-0.004584311528263	0.566963640219916	0.0773091977113397	0.308971906209172	-0.0937213395560973	0.624783923122688	6	6.18349127358325
RA–MHC-II	mhc_ii_apc_generic	7	0.265682257556284	-0.018225605423492	0.509942742608498	0.0468180023443449	0.265878203871615	-0.090834796374855	0.562123544811584	6	5.93734493654215
RA–myeloid	myeloid_context	7	0.536840322576853	0.193707714213867	0.762945417921337	0.157027999164738	0.536796688695129	0.13672270288545	0.786315571014628	6	5.26482676027292
RA–IFN	interferon_state	7	0.213635164040503	-0.0874563177406011	0.478960823160913	0.0742525283293578	0.203037602127182	-0.158401043078858	0.51649202829239	6	4.93051111726201
