comparator	original_gene_count	overlap_n	overlap_percent	post_exclusion_gene_count	too_few_genes	original_GSE283079_rho	overlap_excluded_GSE283079_rho	original_pooled_rho	k	overlap_excluded_pooled_rho	overlap_excluded_pooled_ci_low	overlap_excluded_pooled_ci_high	overlap_excluded_tau2	overlap_excluded_i2	direction_preserved	interpretive_hierarchy_preserved
general_inflammation	200	3	1.5	197	FALSE	0.328185328185328	0.306048906048906	0.232532304648195	7	0.222906007076228	0.00757717632625517	0.418478969026802	0	0	TRUE	TRUE
mhc_ii_apc_primary	10	0	0	10	FALSE	0.0913770913770914	0.0913770913770914	0.308807046785447	7	0.308807046785447	-0.004584311528263	0.566963640219916	0.0749564711337268	42.7304694103479	TRUE	TRUE
mhc_ii_apc_generic	12	1	8.33333333333333	11	FALSE	0.0774774774774775	0.0136422136422136	0.265682257556284	7	0.250399776487417	-0.0506681334784552	0.509748658104257	0.058741715425504	36.8975620356304	TRUE	TRUE
myeloid_context	7	0	0	7	FALSE	0.273101673101673	0.273101673101673	0.536840322576853	7	0.536840322576853	0.193707714213867	0.762945417921337	0.168230659845821	62.6111760402772	TRUE	TRUE
interferon_state	7	0	0	7	FALSE	0.27001287001287	0.27001287001287	0.213635164040503	7	0.213635164040503	-0.0874563177406011	0.478960823160913	0.0570537458525809	36.221337274144	TRUE	TRUE
t_cell_context	6	0	0	6	FALSE	-0.358558558558559	-0.358558558558559	-0.290208081078402								
b_cell_context	6	0	0	6	FALSE	-0.178893178893179	-0.178893178893179	0.0210499365586966								
fibroblast_ecm	7	1	14.2857142857143	6	FALSE	0.0234234234234234	-0.0687258687258687	0.01557523143819								
osteoclast_context	8	0	0	8	FALSE	0.0213642213642214	0.0213642213642214	-0.0133626357364686								
