comparator	REML_tau2	REML_HK_pooled_rho	REML_HK_ci_low	REML_HK_ci_high	HK_df	HK_q
general_inflammation	3.4865768915403e-13	0.222906007075865	0.0622290813685244	0.372320520140427	6	2.16681000485045
mhc_ii_apc_primary	0.0773092000875758	0.308971906369184	-0.093721340027197	0.624783923628129	6	6.18349120244853
mhc_ii_apc_generic	0.0625669935243059	0.250842609384108	-0.121946132338271	0.561608502717773	6	5.72173834259708
myeloid_context	0.157028001498469	0.53679668870494	0.136722702946523	0.786315571001394	6	5.26482671183551
interferon_state	0.0742525286467344	0.203037601950454	-0.158401043266699	0.516492028163357	6	4.93051110758967
