"cohort","model","n","r_squared","adjusted_r_squared","residual_sd","beta__Intercept_","ci_low__Intercept_","ci_high__Intercept_","p__Intercept_","beta_general_inflammation","ci_low_general_inflammation","ci_high_general_inflammation","p_general_inflammation","beta_mhc_ii_apc_primary","ci_low_mhc_ii_apc_primary","ci_high_mhc_ii_apc_primary","p_mhc_ii_apc_primary","beta_myeloid_context","ci_low_myeloid_context","ci_high_myeloid_context","p_myeloid_context","beta_interferon_state","ci_low_interferon_state","ci_high_interferon_state","p_interferon_state","beta_t_cell_context","ci_low_t_cell_context","ci_high_t_cell_context","p_t_cell_context","beta_b_cell_context","ci_low_b_cell_context","ci_high_b_cell_context","p_b_cell_context","beta_fibroblast_ecm","ci_low_fibroblast_ecm","ci_high_fibroblast_ecm","p_fibroblast_ecm","beta_osteoclast_context","ci_low_osteoclast_context","ci_high_osteoclast_context","p_osteoclast_context","delta_r_squared_vs_general"
"GSE283079","general_only",36,0.0704863488340255,0.0431477120350263,0.715747024706681,0.054449691958976,-0.191584287327488,0.30048367124544,0.65574127885702,0.423388051377687,-0.112470883518853,0.959246986274227,0.117589509371974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"GSE283079","general_plus_apc",36,0.0805139905958392,0.0247875657834659,0.711875797523067,0.0567680719030066,-0.192016961441572,0.305553105247585,0.64552528777254,0.568973229628687,-0.163886663816661,1.30183312307404,0.123750112725903,-0.108284502128678,-0.475518982633102,0.258949978375745,0.552665731725118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100276417618137
"GSE283079","general_apc_cell_states",36,0.385413290092127,0.203313524193499,0.582000352275339,0.0950945161810052,-0.135532148951819,0.32572118131383,0.404970167204281,1.09222589244636,0.0946032867463203,2.0898484981464,0.0330595968894131,-0.557037238854669,-1.50475989678894,0.390685419079606,0.238282701468375,0.771975673801806,-0.000971741816301441,1.54492308941991,0.0502688262316095,0.0616689871079917,-0.406275327905143,0.529613302121127,0.788905264747137,-0.0683566167071036,-0.644755967570896,0.508042734156689,0.809587776450784,-0.249514117726447,-1.1355150232145,0.636486787761602,0.568165024667431,-0.153193400191086,-0.69082563162765,0.384438831245478,0.563636860461059,-0.591923431683957,-1.37886893166825,0.195022068300331,0.134388460296819,0.314926941258102
