"","SRR31542966","SRR31542965","SRR31542964","SRR31542963","SRR31542962","SRR31542961","SRR31542960","SRR31542959","SRR31542958","SRR31542957","SRR31542956","SRR31542955","SRR31542954","SRR31542953","SRR31542952","SRR31542951","SRR31542950","SRR31542949","SRR31542948","SRR31542947","SRR31542946","SRR31542945","SRR31542944","SRR31542943","SRR31542942","SRR31542941","SRR31542940","SRR31542939","SRR31542938","SRR31542937","SRR31542936","SRR31542935","SRR31542934","SRR31542933","SRR31542932","SRR31542931","SRR31542930","SRR31542929","SRR31542928","SRR31542927","SRR31542926"
"SRR31542966",1,0.86320579495845,0.869043509009002,0.870235969103326,0.874131442868365,0.862662552165614,0.855114430436988,0.858413273152035,0.863930056127783,0.857074526464044,0.845692918213818,0.874603040867235,0.844158542085232,0.86415963469612,0.852766410811327,0.848105015494774,0.827537374774559,0.865987442142956,0.868438542767202,0.862131567196546,0.868888156767696,0.857097350979045,0.79914870294781,0.849209342774936,0.850920880548723,0.860174426787476,0.857590575848037,0.857576853254463,0.864667260100833,0.8659056253539,0.86246327941844,0.871754627602882,0.860722363290065,0.865484092538975,0.863592742532905,0.867827052173239,0.867254777836138,0.856637340670881,0.86389584070647,0.865619333329242,0.857354785118247
"SRR31542965",0.86320579495845,1,0.878490824056861,0.876353627005519,0.87747357508238,0.880804714176659,0.865788200558203,0.870079820982177,0.871439871787726,0.860467340626966,0.864238631165124,0.879412270750186,0.856035276860035,0.864337222385815,0.866474746159305,0.858467123039979,0.841815748288497,0.871827988113248,0.866927210002449,0.854890630924052,0.87045652824385,0.859306804677962,0.79805060448551,0.854550270881536,0.861096804138618,0.863061198792762,0.862165181482129,0.862803223141463,0.86298520083579,0.866198110988281,0.868655305543721,0.867116303667229,0.863188573637208,0.866305170129558,0.859614584964521,0.872276070096531,0.864219461327423,0.868857433359517,0.870539583941831,0.868031880287338,0.860973305145347
"SRR31542964",0.869043509009002,0.878490824056861,1,0.883691247912107,0.880683415056861,0.883569240540423,0.868308423095666,0.876645536541454,0.874721759896443,0.867929153143548,0.863692967543487,0.884048432878705,0.860508193076617,0.869460488027355,0.871142541173532,0.860046871885457,0.844836520129059,0.876681977653504,0.869677517690227,0.865188095612506,0.874172094277241,0.866261194731932,0.809615079992236,0.864063664802698,0.864123722771335,0.872268242057526,0.869730041403999,0.869401326709631,0.872161316044381,0.874034985710276,0.875474051179092,0.869631205193133,0.86696152970177,0.874124873874093,0.867510506979313,0.879528776414375,0.87729250123792,0.878160949912433,0.878895059323835,0.87380725664101,0.872151191816696
"SRR31542963",0.870235969103326,0.876353627005519,0.883691247912107,1,0.885344706491372,0.880135013959076,0.862979896224736,0.872927369038687,0.876175664741756,0.874199650429338,0.863765297510331,0.885893861179683,0.853364571866974,0.873359779581971,0.870476010196796,0.860263821813323,0.838464485632543,0.877994212749062,0.876267486719802,0.871154349220442,0.877648900315182,0.871795016243717,0.801434441626349,0.859646684209423,0.864095626395125,0.873668520642011,0.870778059566822,0.868941908589184,0.878312284929735,0.878164909918449,0.877486588250533,0.87487027679557,0.868864663703612,0.875053605532648,0.868499966735412,0.881065348257711,0.878623086664251,0.872872130706917,0.87761487210252,0.874816535721046,0.869323228952911
"SRR31542962",0.874131442868365,0.87747357508238,0.880683415056861,0.885344706491372,1,0.880301441136063,0.860553455503117,0.872037817718115,0.878019415803571,0.873399705514099,0.864912068582102,0.883545449148095,0.850054843447927,0.878575883069012,0.874035815482445,0.864735631562524,0.840621900109368,0.879739703806185,0.87926310537995,0.87041929250018,0.885649849926669,0.874479024829611,0.801275581102577,0.862865475309914,0.866563943591671,0.874135135293988,0.874046394338278,0.870175269867591,0.878696300985021,0.879985525174683,0.879724852547319,0.879269362141155,0.873735374548457,0.881006743241908,0.873334138962872,0.883695128114175,0.879187637491136,0.872442863833196,0.877359888339014,0.87918171790168,0.871932079251993
"SRR31542961",0.862662552165614,0.880804714176659,0.883569240540423,0.880135013959076,0.880301441136063,1,0.863975747035707,0.873907699369342,0.872351233472197,0.865496648359411,0.873233052178682,0.882570821505305,0.859250248245999,0.86982462738095,0.877438973969246,0.86549820508457,0.85503929154797,0.876939717945022,0.870970831455119,0.860431856974588,0.874947116112809,0.865290830350212,0.807827781671853,0.863437553635735,0.87410411346398,0.869553992275405,0.871260485256212,0.871208062735062,0.870883217053033,0.870423810717286,0.877550044483242,0.866716506775642,0.868431324038627,0.873271649958809,0.862323006635151,0.876832658390383,0.871918200951362,0.87668017509139,0.877267373672398,0.876173570867685,0.870020812867432
"SRR31542960",0.855114430436988,0.865788200558203,0.868308423095666,0.862979896224736,0.860553455503117,0.863975747035707,1,0.867449645033638,0.861295398398783,0.852023297989029,0.84945173691753,0.865734937701969,0.85590891298698,0.848992531079981,0.853906313539892,0.845693845286623,0.835001857251496,0.860096460826916,0.853363312221338,0.844854078564444,0.85403693076381,0.843378148127573,0.811031032340443,0.843623699120519,0.847017060287503,0.851225254395185,0.849827418996496,0.851412191620742,0.850951209010828,0.851318137643245,0.85487441027127,0.853450061823466,0.844621350139844,0.854397320546011,0.843755404365885,0.861735065509686,0.850812604149079,0.857258545392575,0.855411385429654,0.854996201375569,0.848474993375595
"SRR31542959",0.858413273152035,0.870079820982177,0.876645536541454,0.872927369038687,0.872037817718115,0.873907699369342,0.867449645033638,1,0.866601916032803,0.865406658441187,0.862599001821532,0.8726347530361,0.851463379727016,0.860553635643466,0.868800225241283,0.857297094992732,0.842661027060762,0.864391172554306,0.859662518094547,0.856313244520883,0.863586029953275,0.85979521483968,0.808939472318496,0.857025063969183,0.856421285022078,0.863008740559619,0.863454817626179,0.858630483864118,0.861330274223071,0.86321833149284,0.865515521972236,0.85897661929152,0.856494393860432,0.865732990185109,0.858787265917066,0.871480541898018,0.86588089596784,0.871982396132744,0.866126219745294,0.869285242861462,0.864268255018709
"SRR31542958",0.863930056127783,0.871439871787726,0.874721759896443,0.876175664741756,0.878019415803571,0.872351233472197,0.861295398398783,0.866601916032803,1,0.876567600116834,0.86719990181493,0.877083894274238,0.851498060478831,0.866231772180608,0.866788943225529,0.85507939018386,0.851421871354077,0.871903473282257,0.868217749450431,0.85693666439763,0.874860018661861,0.866300459655285,0.80683126895191,0.862023586180837,0.862349337683185,0.86950294279122,0.867943723168736,0.86957924339145,0.865514453552934,0.867523070592568,0.867877986197326,0.868202093779502,0.863384235645792,0.864967187316416,0.856577779906575,0.870637907600347,0.86805911356252,0.86832293398491,0.869755475644452,0.865936406409333,0.860955763221719
"SRR31542957",0.857074526464044,0.860467340626966,0.867929153143548,0.874199650429338,0.873399705514099,0.865496648359411,0.852023297989029,0.865406658441187,0.876567600116834,1,0.863540063029563,0.869247262504363,0.839452489529788,0.866671335460721,0.866346789546022,0.858684073364053,0.847724977471306,0.872570975736836,0.868551386263032,0.866631792006619,0.868571735066094,0.872940508820549,0.812065945584105,0.870134565082497,0.861324668138924,0.874760030023022,0.87030038584806,0.869075501800953,0.871393072981594,0.871947222763553,0.869989278295924,0.863537168950081,0.863284935467207,0.868486516649599,0.86441075709265,0.872835247399591,0.87750597221088,0.869339998538397,0.874697100547187,0.865245363160091,0.865965010819369
"SRR31542956",0.845692918213818,0.864238631165124,0.863692967543487,0.863765297510331,0.864912068582102,0.873233052178682,0.84945173691753,0.862599001821532,0.86719990181493,0.863540063029563,1,0.865028139795434,0.834985305987089,0.861740556287107,0.873293620676252,0.858283309329132,0.856536443264825,0.863906421607443,0.86241946630484,0.850981577977752,0.866702098071992,0.862640036986759,0.80557172732158,0.864924627267434,0.869374276749396,0.866482698664584,0.86684176433592,0.867117193232002,0.86150015890325,0.862737845459581,0.866988009082061,0.855261525028157,0.860758559822315,0.862461612753672,0.851820866339988,0.862967197651716,0.863850269776651,0.872928973145971,0.86878531246104,0.867312097353791,0.861282398833297
"SRR31542955",0.874603040867235,0.879412270750186,0.884048432878705,0.885893861179683,0.883545449148095,0.882570821505305,0.865734937701969,0.8726347530361,0.877083894274238,0.869247262504363,0.865028139795434,1,0.853516565519256,0.871904403434015,0.86928051853762,0.858378339418038,0.837611516185558,0.87621876571366,0.877851726305167,0.865115297809494,0.883308257498325,0.868885664519695,0.793986514815127,0.859019739382854,0.865569993728559,0.871183663368292,0.869407222012365,0.869952245918084,0.87447378474006,0.876454335615397,0.875137541070355,0.877195940618903,0.869450770666663,0.875103009260507,0.864784175858921,0.880171913699844,0.876009457552063,0.87390688969859,0.877442869790872,0.874374274645161,0.867982206812124
"SRR31542954",0.844158542085232,0.856035276860035,0.860508193076617,0.853364571866974,0.850054843447927,0.859250248245999,0.85590891298698,0.851463379727016,0.851498060478831,0.839452489529788,0.834985305987089,0.853516565519256,1,0.838387492938775,0.845292696824146,0.837806606620149,0.843169462338038,0.858828131751109,0.842036122815457,0.831336223891172,0.843030523793028,0.828985299873675,0.81298866075221,0.838635499295278,0.84376821670883,0.840562573994786,0.843456951820096,0.843185564113088,0.835289449979912,0.836120065603681,0.844327564679521,0.839349728118477,0.833378654248819,0.844305670679987,0.831990590588296,0.851040995928658,0.840024318009392,0.850234070080596,0.850619433804832,0.842736581693321,0.842798762251724
"SRR31542953",0.86415963469612,0.864337222385815,0.869460488027355,0.873359779581971,0.878575883069012,0.86982462738095,0.848992531079981,0.860553635643466,0.866231772180608,0.866671335460721,0.861740556287107,0.871904403434015,0.838387492938775,1,0.870031184678849,0.870769526844122,0.837941263563473,0.870151350759963,0.87434324318688,0.873484060108447,0.876951390026135,0.870678107157825,0.802192640651675,0.863497027376804,0.862707196331588,0.872243177471499,0.87002530015677,0.86711300031234,0.878258265430047,0.875100162689789,0.87715775769066,0.873385251828673,0.879006450093218,0.875401293025089,0.871262806249113,0.875049069413988,0.873874810174636,0.865172276404545,0.871396019839127,0.874415007557315,0.869314114923486
"SRR31542952",0.852766410811327,0.866474746159305,0.871142541173532,0.870476010196796,0.874035815482445,0.877438973969246,0.853906313539892,0.868800225241283,0.866788943225529,0.866346789546022,0.873293620676252,0.86928051853762,0.845292696824146,0.870031184678849,1,0.863233586305435,0.854838134959928,0.872199777181957,0.868434417600615,0.861125989764742,0.872848988466989,0.866921718324597,0.812123316411901,0.868976003754588,0.872931837653141,0.869203180318632,0.871841920209303,0.869634026502416,0.870497141334608,0.870238340648136,0.87928124091814,0.862024277364428,0.867437341366532,0.872459520149515,0.864801479655944,0.872222256197076,0.869937861201448,0.875682959067536,0.871277426215039,0.874414638765199,0.87328639793289
"SRR31542951",0.848105015494774,0.858467123039979,0.860046871885457,0.860263821813323,0.864735631562524,0.86549820508457,0.845693845286623,0.857297094992732,0.85507939018386,0.858684073364053,0.858283309329132,0.858378339418038,0.837806606620149,0.870769526844122,0.863233586305435,1,0.84430134180203,0.867410487903256,0.860957861935107,0.861003692690734,0.859285304234347,0.862452711269076,0.803961618488939,0.862230742642802,0.858863129642129,0.863572734253524,0.862810890279976,0.861414382531516,0.86419279619262,0.861186436021062,0.865087150238455,0.855944605603611,0.870979657157927,0.864051042250658,0.863634644761203,0.863211788976033,0.86346127395482,0.865091921191295,0.865087457511209,0.864348271290011,0.864268834548956
"SRR31542950",0.827537374774559,0.841815748288497,0.844836520129059,0.838464485632543,0.840621900109368,0.85503929154797,0.835001857251496,0.842661027060762,0.851421871354077,0.847724977471306,0.856536443264825,0.837611516185558,0.843169462338038,0.837941263563473,0.854838134959928,0.84430134180203,1,0.849216007530097,0.837207397772362,0.829885180835552,0.836946795723016,0.833652262153896,0.825683025347827,0.852839561530061,0.855098105732959,0.843067670133307,0.848951872428071,0.849014062393672,0.833678736045921,0.833623877299414,0.846683416115154,0.828644699328563,0.837142175158661,0.842577763189327,0.830174746241601,0.842027356443281,0.838508201836909,0.850583287005602,0.847244049507783,0.841646663402888,0.843315540530843
"SRR31542949",0.865987442142956,0.871827988113248,0.876681977653504,0.877994212749062,0.879739703806185,0.876939717945022,0.860096460826916,0.864391172554306,0.871903473282257,0.872570975736836,0.863906421607443,0.87621876571366,0.858828131751109,0.870151350759963,0.872199777181957,0.867410487903256,0.849216007530097,1,0.876377896139226,0.868273339659481,0.874413386500467,0.872391496333048,0.815271609488038,0.869920275536303,0.869160479970742,0.87806915853162,0.875845757041517,0.87570324570512,0.876564803910475,0.874320893540603,0.876732698345592,0.870367092967582,0.871877997495235,0.87545746827618,0.868960434635248,0.876907160482304,0.876396992343602,0.87624536615379,0.879633964768378,0.872091396217645,0.871530650224729
