"program","omitted_cohort","k","pooled_rho","ci_low","ci_high","tau2","i2"
"general_inflammation","none",7,0.232532304648195,0.0177283447556311,0.426818112763183,0,0
"general_inflammation","GSE206848",6,0.244290099492928,0.0244991135379755,0.441553460357332,0,0
"general_inflammation","GSE55235",6,0.270877245106526,0.0483718606633138,0.467769250792928,0,0
"general_inflammation","GSE55457",6,0.246804568317849,0.0226027413737412,0.447370432649272,0,0
"general_inflammation","GSE55584",6,0.221684548922361,0.00206429571956244,0.420903677417054,0,0
"general_inflammation","GSE82107",6,0.233325473409778,0.00830269658726161,0.435856583545572,0,0
"general_inflammation","GSE89408",6,0.220202631588072,-0.0270766079730862,0.442086625977545,0,0
"general_inflammation","GSE283079",6,0.162442053904399,-0.121399741409138,0.421725796709209,0,0
"mhc_ii_apc_primary","none",7,0.308807046785447,-0.004584311528263,0.566963640219916,0.0749564711337268,42.7304694103479
"mhc_ii_apc_primary","GSE206848",6,0.353773725379263,0.0257031826625553,0.613049669707783,0.0801508433726395,46.7957768408046
"mhc_ii_apc_primary","GSE55235",6,0.191790833043587,-0.0351903807589686,0.399955856315746,0,0
"mhc_ii_apc_primary","GSE55457",6,0.340642965287271,-0.0187178889001891,0.622060687497114,0.100633928613649,50.8735778738697
"mhc_ii_apc_primary","GSE55584",6,0.313989457098992,-0.0339703873004356,0.594057784046227,0.0976726920427513,52.2661395378239
"mhc_ii_apc_primary","GSE82107",6,0.335905088261721,-0.0260299880988181,0.619981539613596,0.102598553627821,51.3566929795818
"mhc_ii_apc_primary","GSE89408",6,0.265301249438497,-0.123143956526611,0.583251905208732,0.105366264795003,45.9412525253193
"mhc_ii_apc_primary","GSE283079",6,0.375709012808715,0.00231341199525128,0.657157822916801,0.0924923995831118,39.7462566208209
"mhc_ii_apc_generic","none",7,0.265682257556284,-0.018225605423492,0.509942742608498,0.0449589382491823,30.9167441413022
"mhc_ii_apc_generic","GSE206848",6,0.301287939890395,-0.00102108090704121,0.553138487486244,0.052692723568275,36.6380119763441
